asset_id,source_group_id,source_id,status,modality,category,canonical_correct_answer,original_relative_path,quiz_safe_variant_path,source_sha256,landing_page_url,displayed_license,rights_status
asset_27154896066b,sg_40cc024d5e2a,src_ffd879524723,USABLE,Flow-Volume Loop,Pulmonary function testing,Variable intrathoracic obstruction,originals/variable-intrathoracic-loop.jpg,variants/var_5648d001ad39.png,27154896066bf2b0f92e12fa8f1b501a5c37be6821d8c9debce10279cabb97f4,,Local study use only; do not redistribute,local_only
asset_a00e8e3cee8e,sg_ce449b113573,src_990d2f41f813,USABLE,Flow-Volume Loop,Pulmonary function testing,Reversible airflow obstruction after bronchodilator,originals/bronchodilator-reversibility-loop.png,variants/var_92d365288db5.png,a00e8e3cee8eb462ec74a6b56d2d75905c232f7383fb4617ca2f3cd9128b7229,,Local study use only; do not redistribute,local_only
asset_7e1b7eb08773,sg_9cf895e6f74e,src_aea7f471ff40,USABLE,Echocardiography,Pulmonary hypertension,Right-ventricular pressure overload with septal flattening,originals/rv-pressure-overload-echo.jpg,originals/rv-pressure-overload-echo.jpg,7e1b7eb0877376a82c296256bd579cfb7a3f17cc043b087b66bf5b0b1a7d1bdd,,Local study use only; do not redistribute,local_only
asset_ab06707700a7,sg_ed5923fe4164,src_20ec92527bcf,USABLE,EKG,Pulmonary hypertension,Right-ventricular hypertrophy/strain pattern,originals/right-heart-strain-ecg.jpg,originals/right-heart-strain-ecg.jpg,ab06707700a76beaaa916b2eb101f312f2c07d3d10551158ec43de4e6715ba35,,Local study use only; do not redistribute,local_only
asset_026b57af8d1c,sg_b59536f50858,src_0187921345ca,USABLE,Clinical Image,Pulmonary function testing,Diagnostic spirometry,originals/spirometry-procedure.png,originals/spirometry-procedure.png,026b57af8d1ca794920f3dd3c172ca75b3153e8a6296fdeb3f55e57092506ca3,,Local study use only; do not redistribute,local_only
asset_df477fdfa11d,sg_b84b5123e278,src_ccbde384bd8d,USABLE,X-ray and CT,Thoracic imaging signs,Golden S sign from right-upper-lobe collapse around a hilar mass,originals/golden-s-sign.jpg,originals/golden-s-sign.jpg,df477fdfa11dd56b853e417a33fd822f821f320889d1c55ab0ad0c8b12e6d42a,https://pmc.ncbi.nlm.nih.gov/articles/PMC6893008/,CC BY 4.0,cc_by
asset_6d1cd0584951,sg_aadd7222e26c,src_032b4d73373b,USABLE,X-ray,Occupational lung disease,Calcified pleural plaque from asbestos exposure,originals/calcified-pleural-plaque.jpg,originals/calcified-pleural-plaque.jpg,6d1cd0584951ce5c6b055d28049f28914b4173316a99b52b6038aa5a75f3fa3e,https://commons.wikimedia.org/wiki/File:Asbestosis_and_cryptococcosis_-_Pleural_plaque_-_X-ray_Case_194_(5998756067).jpg,CC BY-SA 2.0,cc_by_sa
asset_bc2c0c1d2690,sg_ab0f331d8082,src_06a2f9a827b4,USABLE,X-ray,Thoracic orientation,Situs inversus totalis with dextrocardia,originals/situs-inversus-cxr.jpg,originals/situs-inversus-cxr.jpg,bc2c0c1d2690cda35995bf39070c21f2421603f8b03a4a606e469f528c9bed67,,Local study use only; do not redistribute,local_only
asset_cb2951109e63,sg_349ef4529411,src_f29bddb40fba,USABLE,X-ray,Pulmonary hypertension,Pulmonary arterial hypertension on chest radiograph,originals/pulmonary-hypertension-cxr.jpg,originals/pulmonary-hypertension-cxr.jpg,cb2951109e6374a72f06067d99ff93510e6951060dd20690e852a1a8209fcc3e,,Local study use only; do not redistribute,local_only
asset_67cfd6f95d63,sg_78591dc3df98,src_abf82f7a5a47,USABLE,Diagram,Pulmonary procedures,Thoracentesis,originals/thoracentesis-procedure.png,originals/thoracentesis-procedure.png,67cfd6f95d63fd19331650d515621f7add2d18860154cd6d2ab81619c1ca228e,,Local study use only; do not redistribute,local_only
asset_f569d930a7af,sg_96a8b2595c8d,src_3e7254282ea9,USABLE,Ultrasound,Point-of-care ultrasound,Pleural effusion on lung ultrasound,originals/pleural-effusion-lung-ultrasound.png,originals/pleural-effusion-lung-ultrasound.png,f569d930a7afc78351ab2d768e45e78d9a2094154476391c41e8243fd5d72a6a,https://commons.wikimedia.org/wiki/File:Portable-bedside-ultrasound-the-visual-stethoscope-of-the-21st-century-1757-7241-20-18-S7.ogv,CC BY 2.0,cc_by
asset_d72e1c439054,sg_c1965873bfa7,src_34d6dde9a052,USABLE,Ultrasound,Point-of-care ultrasound,Lung consolidation with air bronchograms,originals/consolidation-air-bronchograms-lung-ultrasound.png,originals/consolidation-air-bronchograms-lung-ultrasound.png,d72e1c4390549d1fd0cbcec5488d69759555e561111cc28964d6d12c479d468d,https://commons.wikimedia.org/wiki/File:Prospective-application-of-clinician-performed-lung-ultrasonography-during-the-2009-H1N1-influenza-2036-7902-4-16-S3.ogv,CC BY 2.0,cc_by
asset_dab6959f8e42,sg_0be59c6d0b33,src_22bd41dc4316,USABLE,X-ray,Lines and tubes,Right mainstem endotracheal-tube malposition,originals/right-mainstem-endotracheal-tube.jpg,originals/right-mainstem-endotracheal-tube.jpg,dab6959f8e42b3b456cd8fb751e6119f5d5ee7fec16d1bb7a60d6c02e9fa84f2,https://commons.wikimedia.org/wiki/File:Trachealtubus_mit_der_Spitze_im_rechten_Hauptbronchus_79W_-_CR_ap_-_001.jpg,CC BY-SA 4.0,cc_by_sa
asset_92c57598733c,sg_84f749ef97e0,src_bfbcd3fcfbcf,USABLE,X-ray,Lines and tubes,"Endotracheal and nasogastric tubes, both appropriately positioned",originals/endotracheal-and-nasogastric-tubes-cxr.png,originals/endotracheal-and-nasogastric-tubes-cxr.png,92c57598733c829a2a254182921e134f2484b04b6be5ecb0e7d02797d1bb4ff6,https://commons.wikimedia.org/wiki/File:ETTubeandNGtube.png,CC BY-SA 4.0,cc_by_sa
asset_0ad260f0645d,sg_06afc4be116c,src_ebcb300aedd3,USABLE,X-ray,Pulmonary edema and heart failure,Kerley B lines from interlobular septal thickening,originals/kerley-b-lines-cxr.jpg,originals/kerley-b-lines-cxr.jpg,0ad260f0645da04684501d1576510d82fabadb0e002a36cabfa30a6ee1c65334,https://commons.wikimedia.org/wiki/File:Chest_radiograph_of_a_lung_with_Kerley_B_lines.jpg,CC0 1.0,cc0
asset_9f3a02ec2eb9,sg_5b5b3cc0bfc0,src_b7c3b9111e17,USABLE,Ultrasound,Point-of-care ultrasound,Barcode/stratosphere sign indicating absent lung sliding,originals/barcode-sign-lung-ultrasound.jpg,originals/barcode-sign-lung-ultrasound.jpg,9f3a02ec2eb9f9ecbeb8135419745392daed51698bbfcb1c54d3229150d18048,https://pmc.ncbi.nlm.nih.gov/articles/PMC2700565/,CC BY 2.0,cc_by
asset_a07e1fe9a95f,sg_9eecc0ecca22,src_04cb2634990f,USABLE,Clinical Image,Bronchoscopy and airway lesions,Obstructing endobronchial mass,originals/endobronchial-mass-bronchoscopy.png,originals/endobronchial-mass-bronchoscopy.png,a07e1fe9a95f80a36ed184753857056ecd8cc041d8a2fa1da1708cecc19cfd48,https://commons.wikimedia.org/wiki/File:Lung_cancer_in_L._Bronchus_-_bronchoscopic_view.png,CC BY 2.5,cc_by
asset_64d99ec51daf,sg_1afec6e60d85,src_ea8f6b047af1,USABLE,Histology,Lung cancer,Pulmonary squamous cell carcinoma with keratin pearls,originals/squamous-cell-carcinoma-keratin-pearls.png,originals/squamous-cell-carcinoma-keratin-pearls.png,64d99ec51daf38b0134844a6b9d8420ecefea64aa1ff6f4792f6c455044887eb,,Local study use only; do not redistribute,local_only
asset_887cb6bd3ccd,sg_ad1deb726471,src_e160390fdc2c,USABLE,Cytology,Asthma pathology,Curschmann spiral from asthma,originals/curschmann-spiral-asthma.png,originals/curschmann-spiral-asthma.png,887cb6bd3ccd02534977e37e3df7b97adaa4ecdb4cef8bc9b4149d5988bfabbe,,Local study use only; do not redistribute,local_only
asset_032a879b33d1,sg_b8b1f6da564a,src_3921a2dbb1b4,USABLE,Cytology,Asthma pathology,Charcot-Leyden crystal,originals/charcot-leyden-crystal-asthma.png,originals/charcot-leyden-crystal-asthma.png,032a879b33d157fdb94a42a46924f64e89f817c7b3efc9c473672fd4399b061b,,Local study use only; do not redistribute,local_only
asset_bb581a15e77c,sg_90f58a2ff2ab,src_d4b43b5727a3,USABLE,Microscopy,Endemic mycosis,Blastomyces with broad-based budding,originals/blastomycosis-broad-based-budding.png,variants/var_6e600ecfbb20.png,bb581a15e77caa3fa048cddeffb17aad2fa9941c8991f9d540a62cb49e303dfd,,Local study use only; do not redistribute,local_only
asset_a31bc36f4ce3,sg_f1ee974c908f,src_eaa014fe965d,USABLE,Microscopy,Endemic mycosis,Paracoccidioides with pilot-wheel budding,originals/paracoccidioides-pilot-wheel.png,variants/var_029a3ee7ab1d.png,a31bc36f4ce3b5aeb3d603535b05d8df1636bda8459c25f526e5e4a190cd46fd,,Local study use only; do not redistribute,local_only
asset_535316fd21ba,sg_0345c9716e8b,src_73c4f1d588cf,USABLE,Clinical Image,Asthma pharmacology,Oral candidiasis associated with inhaled corticosteroid use,originals/oral-candidiasis-inhaled-corticosteroid.png,originals/oral-candidiasis-inhaled-corticosteroid.png,535316fd21bae73ee86af36d05dcb05b0823418f419c71e3ccf2360febdea19e,,Local study use only; do not redistribute,local_only
