review_index,path,filename,sha256,width,height,prior_disposition,disposition,decision_reason,app_question_id,app_quiz_asset
34,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Anatomic-and-Alveolar-Dead-Space.png,Anatomic-and-Alveolar-Dead-Space.png,98849af2bc8274d59b9c544e0c7dce48df3d16fb677af6e5c2fc39fba167ba45,880,854,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
35,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Anatomical Locations and Auscultatory Sites for Heart Valves.jpg,Anatomical Locations and Auscultatory Sites for Heart Valves.jpg,535959feb74b6f91131bcb3803d1f67a0898ef9b824602b0d7c98cd290df44c3,1414,1000,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
36,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Anion Gap.jpg,Anion Gap.jpg,f21f2f5f1881d645744977448c86cba044ffd7c911d69d224c848a305eee4870,1600,647,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
37,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Annular Sarcoidosis.jpg,Annular Sarcoidosis.jpg,4772cc071c916785f689af9ad175e62f40fbb14e2432d246ad90ea6fa4d8c235,985,1000,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
38,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Anthracotic Pigment in Lung in Coal Worker's Pneumoconiosis.jpg,Anthracotic Pigment in Lung in Coal Worker's Pneumoconiosis.jpg,00c2b9ae41129a9f6e80a9b26aff0d8159fbb3ce00d09dab7f030c43a2c5588e,1333,1000,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
39,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Antifungal Meds.jpg,Antifungal Meds.jpg,ce400703b4a8f5ce01ffcd0a9339d336301d88417dbb892970691272280db4b8,536,430,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
40,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Antigenic Shift and Drift Diagram.png,Antigenic Shift and Drift Diagram.png,98ca55cfae01ba15387636e9bed234ce49aa4770b3e12d1f1d4135d455ada3c5,1306,624,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
41,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Antigenic Shift and Drift.jpg,Antigenic Shift and Drift.jpg,06f96f25d9ab0023371ac3b37087a86af50aac245e03b2106ac747c45a49a119,1600,778,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
42,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Antitussive-Sites-of-Action.jpg,Antitussive-Sites-of-Action.jpg,012879cfa4fd84dc8f29bf1b382d81e73ae264f695f299f6dcbf8e5b47f6e4b2,700,596,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
43,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Aortic-Injury.jpg,Aortic-Injury.jpg,83d340ea82082f5fb007405388a3a42a24b1a858ba8a12276d9d5709b10dd777,700,423,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
44,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Approach-to-Chronic-Cough-in-Children.png,Approach-to-Chronic-Cough-in-Children.png,7bcd97eff01b0dcf68ab6a09a2f67923b631e0254d15435eb6646a7248451fd5,467,602,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
45,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Appropriate-Compensatory-Paco2-or-Hco-Changes-in-Acid-Base-Disorders.png,Appropriate-Compensatory-Paco2-or-Hco-Changes-in-Acid-Base-Disorders.png,816bd499a61264a406d4b5d03bf77b8ece851dca2d655166a7a334bce9b9f2bf,1482,640,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
46,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/ARDS Following Legionella Pneumonia.jpg,ARDS Following Legionella Pneumonia.jpg,c032efee6519b11df47909b07d933167d5ee33a4f43c65dadd67381159e2cff5,1017,1000,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
47,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/ARDS Hyaline Membrane.jpeg,ARDS Hyaline Membrane.jpeg,fb7092b5d302823b8dfa1ea7734d28c3eb11c8014e77f7e62097e2610dcaa16f,1599,1066,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
48,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Arterial-Blood-Gas-Analysis.png,Arterial-Blood-Gas-Analysis.png,67537ee9a2480937c62adacd4d57c6198f5bba679f2f8391fafc424b580273bf,1062,1216,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
49,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Arterial-Blood-Gas-Interpretation-of-Acid-Base-Disorders.png,Arterial-Blood-Gas-Interpretation-of-Acid-Base-Disorders.png,298377a0f856b4f35287df28776b4d40ad9864953bf56b2bfa5eb5e7e13945cb,660,706,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
50,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Asbestos-Exposure-and-Mesothelioma.png,Asbestos-Exposure-and-Mesothelioma.png,7ec48c72c5ea0767278ad99df8a7e4a2e275780b38fd4d3a45ca2f8250d105cf,912,798,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
51,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Asbestos-Exposure.png,Asbestos-Exposure.png,01ee4ce6bcfcb2581fc33f4b4a434b20a531c09dedb497185a79ca741bb01317,700,578,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
52,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Asbestos-Related Pleural Disease Lateral.jpg,Asbestos-Related Pleural Disease Lateral.jpg,300156e13c3eb2ebdfa66edbf6ca184c970c0dbfef6eda0ac7ed68a65bf59b57,823,1000,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
53,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Asbestos-Related Pleural Disease.jpg,Asbestos-Related Pleural Disease.jpg,7bd872c25b24e3fa67129d10d8a839a2ecd07ff062793ef7bb4c00df64b51c6b,1081,1000,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
54,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Asbestosis Gross.jpg,Asbestosis Gross.jpg,311d24482970aeb31630753d1491616db231210fff594552cd062efa33aa9115,809,1000,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
55,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Asbestosis HE.jpg,Asbestosis HE.jpg,a378fb312f70a45e3f0e9454be3b1367af2b2d0f5d93b398319385e53b729155,1333,1000,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
56,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Asbestosis.jpg,Asbestosis.jpg,196a0ee599fa1390187596aa4100fd41309e18dde1af9a5285d7bb22be7075a3,1532,1000,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
57,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Asbestosis.png,Asbestosis.png,ef33709cffe87ff592dd7e37b16f73cb8043823d2874d1839913d504a7dd77d1,524,517,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
58,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Aspergilloma 2.jpg,Aspergilloma 2.jpg,a65bca20d6ee31317aabcdba6c2519ffce960f0d61f63882b7099dca1eb2986b,1111,1000,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
59,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Aspergillosis.jpg,Aspergillosis.jpg,93eb01e8289aa520074c8d0b6621367fa282b3ec963f849169f683d75ec5b377,1361,1000,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
60,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Pulm Picture/Aspergillus Endocarditis.jpg,Aspergillus Endocarditis.jpg,00e449921298698ca61e2d49c0578561ff347a10e449d2833b7d851f2ab0f593,1505,1000,,REFERENCE_ONLY,"Visually reviewed in the complete candidate-sheet pass; not promoted because it duplicated an existing scored concept, depended on answer-revealing teaching text, functioned primarily as a reference table/diagram, or was less discriminating than the retained quiz image.",,
