index,sha256,filename,path,lectures,topics,relevance
19,6b512083ed429d1900f1662b93d1670799a30ab4c9ff43c31975fe1875c8660c,Alveolar-Hypoventilation-Aa-Gradient.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Alveolar-Hypoventilation-Aa-Gradient.png,"P10 - Physiology Six-Case Workshop | P7 - Gas Exchange, Part 2 - Causes of Hypoxemia",Alveolar Hypoventilation Aa Gradient,Visually verified course-aligned reference for Physiology Six-Case Workshop: Alveolar Hypoventilation Aa Gradient.
20,c350e9a6be3906fce1ff4c8a3fba33aea9d716f812c44815ff688d970b8e805f,Alveoli-Toluidine-Blue-Pneumocytes-Histology.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Alveoli-Toluidine-Blue-Pneumocytes-Histology.png,P1 - Histology of the Respiratory System Review,Alveoli Toluidine Blue Pneumocytes Histology,Visually verified course-aligned reference for Histology of the Respiratory System Review: Alveoli Toluidine Blue Pneumocytes Histology.
21,70b604643094efed54ca0241b500d7fbdc746fde45e198bc2ea83cdc5f33fe7c,Alveolus-and-Respiratory-Bronchiole-Histology.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Alveolus-and-Respiratory-Bronchiole-Histology.png,P1 - Histology of the Respiratory System Review,Alveolus and Respiratory Bronchiole Histology,Visually verified course-aligned reference for Histology of the Respiratory System Review: Alveolus and Respiratory Bronchiole Histology.
22,5ec487433f77aed730fbdb5605d24b7353ea92c6d844173dee145f8f28eaa18c,alveolus-gas-exchange-diagram.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/alveolus-gas-exchange-diagram.png,P17 - Introduction to Respiratory Pathophysiology,gas exchange | diffusion | alveolar-capillary barrier,Illustrates oxygen and carbon-dioxide diffusion across the alveolar-capillary interface.
23,a4eb814f025c01a9be06ddda7f106775d11fd5f4cc6f001e1564b79c983bf863,Alveolus-Size-Surfactant-Collapsing-Pressure.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Alveolus-Size-Surfactant-Collapsing-Pressure.png,P3 - Airway and Vascular Flow | P9 - Pulmonary Physiology Review | Pulmonary - Comprehensive Study Guide,Alveolus Size Surfactant Collapsing Pressure,Visually verified course-aligned reference for Airway and Vascular Flow: Alveolus Size Surfactant Collapsing Pressure.
24,c59c56776ead0fb5247c55e204ef7ff7fb70f6167f7f42fbe4a77895d02d9cfa,Amphotericin B Overview.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Amphotericin B Overview.png,P30 - Microbiology of Pneumonia - Fungal Infections,Pathology | Microbiology | Pharmacology,Provides a verified lecture-aligned visual anchor for Amphotericin B Overview
25,f97085a64906328ed15c161a31b210b984ab611395e95abe522598b9c2c59b66,Anatomic-Physiological-Dead-Space-Shunt-Diagram.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Anatomic-Physiological-Dead-Space-Shunt-Diagram.png,P9 - Pulmonary Physiology Review,Anatomic Physiological Dead Space Shunt Diagram,Visually verified course-aligned reference for Pulmonary Physiology Review: Anatomic Physiological Dead Space Shunt Diagram.
26,fc595158452f796559b1392b39771c0b26e14124463e7175a3dd1ae57615c566,Anatomical Vs. Alveolar Dead Space (Minute Ventilation).jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Anatomical Vs. Alveolar Dead Space (Minute Ventilation).jpg,"P35 - Acute Respiratory Failure | P4 - Mechanics, Compliance and Ventilation | Pulmonary - Comprehensive Study Guide",minute ventilation | alveolar ventilation | dead space,"Shows how tidal volume partitions into dead space and alveolar ventilation, the core quantitative mechanism of type 2 failure."
27,001456011a670f4cd7bf2915d68ddea4c8a00e2de30d2642fb79c6d9942c30c7,Anatomy of the Intercostal Muscles.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Anatomy of the Intercostal Muscles.jpg,P2 - Structure and Volumes,Anatomy of the Intercostal Muscles,Visually verified course-aligned reference for Structure and Volumes: Anatomy of the Intercostal Muscles.
28,0fd6680ca1eac3d2df9d2b3705d68d4ec2a6b1051a994aece9dc94e4a80f6bbb,Antifungal Therapy Mechanisms Diagram.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Antifungal Therapy Mechanisms Diagram.png,P30 - Microbiology of Pneumonia - Fungal Infections,Pathology | Microbiology | Pharmacology,Provides a verified lecture-aligned visual anchor for Antifungal Therapy Mechanisms Diagram
29,35427b31d472b83f4fa35693beccf7260345ec5fa03592d1123de6b771c5eeaf,Approach-to-Hypoxemia-Algorithm.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Approach-to-Hypoxemia-Algorithm.png,"P10 - Physiology Six-Case Workshop | P7 - Gas Exchange, Part 2 - Causes of Hypoxemia | P9 - Pulmonary Physiology Review",Approach to Hypoxemia Algorithm,Visually verified course-aligned reference for Physiology Six-Case Workshop: Approach to Hypoxemia Algorithm.
30,6f078c56b9dccd6977ca031056dd5860e60ca940668a36bf563f88210943cbdb,ARDS X Ray.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/ARDS X Ray.png,P35 - Acute Respiratory Failure,ARDS | chest radiograph | bilateral opacities,Demonstrates the bilateral diffuse pulmonary opacities used in the lecture's ARDS recognition criteria.
31,c02bef8588a319a0204e05df4301a88f658e77a0a0f0e837c1b4c2d41c74a85d,Ards-Pathogenesis.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Ards-Pathogenesis.jpg,P35 - Acute Respiratory Failure,ARDS | alveolar-capillary injury | noncardiogenic edema,"Normal-versus-ARDS alveolar schematic demonstrates permeability edema, inflammatory injury, and impaired oxygen exchange."
32,e77c6caeebc48c5c4e510841c20e1e57cdd5e9964839d2b6dd39a15a0a6c0a12,ARDS.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/ARDS.png,P35 - Acute Respiratory Failure,ARDS | alveolar injury | surfactant | fibrosis,"Contrasts a healthy and injured alveolus to show inflammation, permeability edema, surfactant loss, collapse, and fibroblast response in ARDS."
33,a8900f10f1b9399ca74806050d9caff5f50538d33a9d6f3e9a594e77000e5849,Asbestos-related pleural disease axial.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Asbestos-related pleural disease axial.jpg,P25 - Radiology of Restrictive Lung Disease and Extras,asbestos | pleura | CT,Shows pleural plaques/thickening on axial CT.
34,5448145615fd950b4f9c92d5952916afc82552a1a7231fa955bf05ff9851a935,Aspergillis.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Aspergillis.png,P30 - Microbiology of Pneumonia - Fungal Infections,Pathology | Microbiology | Pharmacology,Provides a verified lecture-aligned visual anchor for Aspergillis
35,f081c66f6f11f4e3a3ccd4c519e6e303e473a1fdf594eb22a4a56963abdf38a7,Aspergilloma.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Aspergilloma.jpg,"P26 - Diseases of the Respiratory Tract - Part 3 - Vascular, Cancer, Other Disease (Pathology) | P26.2 - Lung Infections - Pathology Review and Study Supplement | P30 - Microbiology of Pneumonia - Fungal Infections",Pathology | Diagnostics,P26.2 (p.22-23) describes colonization of a pre-existing lung cavity by Aspergillus forming a fungus ball (aspergilloma); this labeled CT shows exactly that cavitary fungus ball
36,bc2a36e9d9b4837f3bf471a6f09624acf3a3687eeb7f0eb2f6c89b59365a154c,Asteroid bodies in pulmonary sarcoidosis.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Asteroid bodies in pulmonary sarcoidosis.jpg,P24 - Diseases of the Respiratory Tract - Part 2 - Restrictive Disease (Pathology),sarcoidosis | asteroid body,Shows asteroid bodies within sarcoidal giant cells.
37,657fd4d57e75e89dcaa6e7197d1c25526e3a1b4bd25ec5f7a78205ac9536aa49,asthma-allergen-pathophysiology.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/asthma-allergen-pathophysiology.png,P19 - Obstructive Diseases and Airway Diseases,asthma | type I hypersensitivity | Th2 inflammation,"Maps allergen sensitization, IgE cross-linking, mast-cell activation, Th2 cytokines, eosinophils, bronchoconstriction, and remodeling."
38,f219faaff2cb8bec500531fefa56c27721e80049a959e6f31421b01df601055d,asthma-pathophysiology-and-pharmacology-diagram.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/asthma-pathophysiology-and-pharmacology-diagram.png,P22-23 - Drugs Used for Treatment of Asthma and COPD,mepolizumab | benralizumab | PDE inhibitors | asthma mechanisms,Comprehensive mechanism map adds the anti-IL-5 and IL-5-receptor targets while linking acute bronchodilation to chronic inflammatory control.
39,1abe1ef58888273e9b560d83df22d18942d0e19ab4d7680f0c8f4aa7689301b7,Asthma-Severity-for-Patients-Not-on-Controller-Medication.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Asthma-Severity-for-Patients-Not-on-Controller-Medication.png,P34 - Respiratory Medicine Clinical Case Studies - Obstructive Diseases (Pathophysiology),asthma | severity | control,"Severity table reinforces symptom, awakening, and treatment-step classification."
40,3109b48b653896a1c781817ea4a562af09ab24ba83c7dcf5943ec87090789111,Asthma-TH2-Pathways-and-Biologic-Targets.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/P34 - Respiratory Medicine Clinical Case Studies - Obstructive Diseases (Pathophysiology)/Web Sources/Asthma-TH2-Pathways-and-Biologic-Targets.jpg,Pulmonary - Comprehensive Study Guide,P22-23 | P34 | asthma | biologics | type 2 inflammation,Maps type-2 asthma cytokine pathways to current biologic targets.
41,a2491abf6ab357ae8805949ddeb3cd547ddb35ffd30f69e078c446c44518c04a,asthma-vs-copd.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/asthma-vs-copd.png,P13 - Pulmonary Problem Solving Exercise Part 1 | P14 - Introduction to Pulmonary Pathophysiology | P19 - Obstructive Diseases and Airway Diseases | P20 - Radiology of Obstructive Lung Disease,asthma | COPD | chronic dyspnea,"Distinguishes two common chronic causes of dyspnea by onset, exposures, symptoms, reversibility, and treatment."
42,c5b0b2fea5813082ec57cd32aa17592bdee9df094ba3ddf86b10925abb0661f2,Atelectasis-Causing-Mediastinal-Shift.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Atelectasis-Causing-Mediastinal-Shift.jpg,P27 - Radiology of Pulmonary Infections and Lung Cancer,Diagnostics | Pathology,Provides a verified lecture-aligned visual anchor for Atelectasis Causing Mediastinal Shift
43,f84d2bdc4ae40bfea7b7bbf8830dd600d314a702f3a32426a9bde4f21ac5839b,B ARDS Bilateral Diffuse Lung Opacities CXR.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/B ARDS Bilateral Diffuse Lung Opacities CXR.png,P14 - Introduction to Pulmonary Pathophysiology | P18 - Basic Interpretation of Chest X-Ray | P27.2 - Chest X-Ray Final Review | P35 - Acute Respiratory Failure | P39 - Clinical Pathology & Imaging - Interactive Workshop | Pulmonary - Comprehensive Study Guide,ARDS | diffuse opacities | chest radiograph,Annotated radiograph shows the diffuse bilateral opacities characteristic of ARDS.
44,96d60ea62605375217ad6435536b7cd8d459b6254b13c868da2a8048a143d065,B Lung Adenocarcinoma Glandular Histology.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/B Lung Adenocarcinoma Glandular Histology.png,"P26 - Diseases of the Respiratory Tract - Part 3 - Vascular, Cancer, Other Disease (Pathology) | Pulmonary - Comprehensive Study Guide",Pathology | Diagnostics,Provides a verified lecture-aligned visual anchor for B Lung Adenocarcinoma Glandular Histology
45,5720078660f16da070f47ecc2ed34bda8991b986fc435ec2bf19e288465699d2,B Sarcoidosis Bilateral Hilar Adenopathy and Coarse Reticular Opacities CXR.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/B Sarcoidosis Bilateral Hilar Adenopathy and Coarse Reticular Opacities CXR.png,P14 - Introduction to Pulmonary Pathophysiology | P24 - Diseases of the Respiratory Tract - Part 2 - Restrictive Disease (Pathology) | P27.2 - Chest X-Ray Final Review,sarcoidosis | bilateral hilar adenopathy | chest radiograph,Demonstrates bilateral hilar adenopathy and coarse reticular opacities of pulmonary sarcoidosis.
46,5557cb9351f83d9d6c77f1bb3fa11d0e0902a3c8c3c35e7c42780cdccaa49a70,B Tension Pneumothorax CXR Tracheal Deviation Collapsed Lung.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/B Tension Pneumothorax CXR Tracheal Deviation Collapsed Lung.png,P18 - Basic Interpretation of Chest X-Ray | P27.2 - Chest X-Ray Final Review,tension pneumothorax | tracheal deviation | chest radiograph,Demonstrates absent peripheral markings collapsed lung and tracheal deviation in tension pneumothorax.
47,17d3840e832159ab6b7ec5ef7613ed43375b999c2e1a7927f65e74ae3b61b1fa,B_Emphysema_Alveolar_Wall_Destruction_Histology.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/B_Emphysema_Alveolar_Wall_Destruction_Histology.png,P19 - Obstructive Diseases and Airway Diseases | P34 - Respiratory Medicine Clinical Case Studies - Obstructive Diseases (Pathophysiology),emphysema | histology | alveolar wall destruction,Histology shows enlarged airspaces and destruction of alveolar septa without fibrosis.
48,e979bf55ecc0bec24efea208ec372e91033e47d496ce485a994819254030ffb1,Baroreceptors-and-Peripheral-Chemoreceptors.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Baroreceptors-and-Peripheral-Chemoreceptors.png,P11 - Physiology Practice Question Review | P8 - Control of Ventilation,Baroreceptors and Peripheral Chemoreceptors,Visually verified course-aligned reference for Physiology Practice Question Review: Baroreceptors and Peripheral Chemoreceptors.
49,3ba49d02080a93199ab5399b8ec07514a734108b873728cd3f4fb53b3a20f98e,Bilateral pleural effusion.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Bilateral pleural effusion.jpg,P18 - Basic Interpretation of Chest X-Ray | P25 - Radiology of Restrictive Lung Disease and Extras,bilateral pleural effusions | CT,Shows small bilateral dependent effusions that may not shift the mediastinum.
50,25845d4981f6f2f233b937132063692d788d09661adb2ab5158f4d62ed95413c,bilateral-hilar-adenopathy-chest-xray.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/bilateral-hilar-adenopathy-chest-xray.jpg,P18 - Basic Interpretation of Chest X-Ray,hilar adenopathy | chest radiograph,Compares normal hila with bilateral hilar adenopathy.
51,390426d05b867378217f955e38556b128d58bbb5dc68ba7d5902fc4b433be3c4,Blastomycosis Fact Sheet and US Endemicity Map.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Blastomycosis Fact Sheet and US Endemicity Map.jpg,P30 - Microbiology of Pneumonia - Fungal Infections,Pathology | Microbiology | Pharmacology,Provides a verified lecture-aligned visual anchor for Blastomycosis Fact Sheet and US Endemicity Map
52,bb581a15e77caa3fa048cddeffb17aad2fa9941c8991f9d540a62cb49e303dfd,Blastomycosis Histology.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Blastomycosis Histology.png,P30 - Microbiology of Pneumonia - Fungal Infections,Pathology | Microbiology | Pharmacology,Provides a verified lecture-aligned visual anchor for Blastomycosis Histology
53,b08f944d8d7d1bf4e9fbf0aa40cee0f190b4eae4df8b204a43de9dd9eab70e11,Bohr and Haldane Effects.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Bohr and Haldane Effects.jpg,"P6 - Gas Exchange, Part 1 - Pressures, Diffusion and Transport",Bohr and Haldane Effects,"Visually verified course-aligned reference for Gas Exchange, Part 1 - Pressures, Diffusion and Transport: Bohr and Haldane Effects."
54,be10fd27dff9fac96803a64005a45f8ff44d66f9b6107e1089a135754b1c56e0,Breathing Rhythms.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Breathing Rhythms.png,P8 - Control of Ventilation,Breathing Rhythms,Visually verified course-aligned reference for Control of Ventilation: Breathing Rhythms.
55,c87716158ab7e26d83a485214957f886969e9f05fe525379489ad5aa7d0798d2,bronchiectasis-gross-pathology.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/bronchiectasis-gross-pathology.png,P20 - Radiology of Obstructive Lung Disease,bronchiectasis | cystic fibrosis | CT,CT demonstrates dilated bronchi and thickened walls in cystic-fibrosis bronchiectasis.
56,9458d3b55df5ab67c8aebcb41b9b6c727ae8b6708446c3da0b65542785b2b1d5,Bronchiectasis-Radiographic-Signs.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Bronchiectasis-Radiographic-Signs.png,P16 - Mystery Illness Review Video | P20 - Radiology of Obstructive Lung Disease | P27.2 - Chest X-Ray Final Review,Bronchiectasis Radiographic Signs,Visually verified aid for the P16 history/examination pattern and structural or suppurative-airway differential: Bronchiectasis Radiographic Signs.
57,3d7486f1a9410941b243d5b5ac782423626467a23ad380ff9f3c422ea05270a5,Bronchiectasis-Signet-Ring-Sign.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Bronchiectasis-Signet-Ring-Sign.png,P16 - Mystery Illness Review Video | P19 - Obstructive Diseases and Airway Diseases | P20 - Radiology of Obstructive Lung Disease | P38 - Mystery Illness Review Session - Interactive Workshop | Pulmonary - Comprehensive Study Guide,Bronchiectasis Signet Ring Sign,Visually verified aid for the P16 history/examination pattern and structural or suppurative-airway differential: Bronchiectasis Signet Ring Sign.
58,fae76322e2b5eac8a58a80c1c63e23c3e4cc3791944d6dc1206ef740bef2d042,Bronchiectasis-Tram-Track-Sign.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Bronchiectasis-Tram-Track-Sign.png,P16 - Mystery Illness Review Video | P19 - Obstructive Diseases and Airway Diseases | P20 - Radiology of Obstructive Lung Disease,Bronchiectasis Tram Track Sign,Visually verified aid for the P16 history/examination pattern and structural or suppurative-airway differential: Bronchiectasis Tram Track Sign.
59,6fabf77f9e39d8a72a7f2630137c87751c8048b5f2486bb4b5e278a521ae255b,Bronchogenic Cyst.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Bronchogenic Cyst.jpg,P36 - Pulmonary Developmental Anomalies,bronchogenic cyst | histopathology,Histology demonstrates the respiratory-type epithelial lining and wall structure of a bronchogenic cyst.
60,a9c2862f93a2fcf3aaf02c1c70772731692d87c89f17edd25eb0c3f690548d7c,Bronchopneumonia-Pathology.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Bronchopneumonia-Pathology.png,P39 - Clinical Pathology & Imaging - Interactive Workshop,bronchopneumonia | histology,Integrated histology schematic emphasizes bronchiolocentric patchy neutrophilic inflammation.
61,ae60d5c7b073b544f06edb3539c4bf7e6423ea7142c206f75ffd574d854fd7f5,Bronchopneumonia.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Bronchopneumonia.jpg,P31 - Review of Pneumonia - Pathology and Pharmacology,bronchopneumonia | histopathology,Shows airway-centered suppurative bronchopneumonia histology.
62,b3b01d4f57023dbdfbd3caf461ffe8523c12594ecee61618d59754fecda42caa,Bronchopulmonary Dysplasia.jpg,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/Bronchopulmonary Dysplasia.jpg,P27.2 - Chest X-Ray Final Review | P37 - Advanced Spirometry Review - Interactive Workshop,bronchopulmonary dysplasia | prematurity | CXR,Shows the coarse chronic lung changes of bronchopulmonary dysplasia in a premature infant.
63,f84473e58e690544c4e47722dca3e74d36d759518b381a321c4893dd72d5069e,C Emphysema Gross Lung Bullae.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/C Emphysema Gross Lung Bullae.png,P20 - Radiology of Obstructive Lung Disease,emphysema | gross pathology | bullae,Gross lung shows destructive bullous airspaces and limited intervening parenchyma.
64,a5e1fdb4ac7c89d1b041ffee3014fe414da2924d3753f94060bda441c9a72d89,C Squamous Cell Lung Carcinoma Hilar Mass CXR.png,/Users/chriselwell/Desktop/Pulm/Pulm Pictures/C Squamous Cell Lung Carcinoma Hilar Mass CXR.png,P27 - Radiology of Pulmonary Infections and Lung Cancer | P39 - Clinical Pathology & Imaging - Interactive Workshop,Diagnostics | Pathology,Provides a verified lecture-aligned visual anchor for C Squamous Cell Lung Carcinoma Hilar Mass CXR
